All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track
3512,0.005118592545925969,0.021690166460019887,0.035286784520766744,0.0249240982467511,0.5474592323415245,3.1193752523615705e-05,0.00013739113225218072,0.07451375465067027,0.020596033696420622,0.02845724660064352,0.0457141926625027,0.0034873467866331025,1.1249796097445732e-06,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.007864208020233732,0.9704980811106045
3501,0.03155342544836012,0.06117161694802753,0.0723486638515831,0.022362951418947955,0.7789917181202793,0.0014284317250946197,0.0021911486344804334,0.00030254079959302565,0.00010252326200128935,7.214117073156867e-05,2.7220572598013997e-06,0.0912047047984501,2.4749551414380614e-05,0.03514083141038192,0.0016200893409429255,0.00020262315025718265,0.0718782070008281,0.013858693511307252,0.0022764112374196936,0.001570007138757795,0.03265837124888489
3523,0.005118592545925969,0.08382266512835211,0.11276086525709234,0.04162138425789254,0.7263706986251078,0.023694473009497983,0.03386735543366762,0.005987692447265558,0.001733007374156916,0.0016467756573780707,0.0027879830914758117,0.05865759748356691,0.004863849342730663,0.03514083141038192,0.004789549374781202,0.0009754377212974795,0.033605143371996264,0.008537952814345716,0.001699769766634784,0.0041939849443577175,0.9704980811106045
3516,0.005118592545925969,0.01589476403398605,0.03655882288178512,0.21310011698292575,0.6584417829700242,9.075256853005825e-05,0.0003560197264200884,0.00016331002711678384,0.0001314719081810851,0.0002069379525554654,1.6763362251057352e-07,0.056933527149287726,0.00015299722692526196,0.020290263491616178,0.045992529814678794,0.012578154680720297,0.10058300472245198,0.00025622905165165975,0.00010845091881734538,0.0015338460952319733,0.03265837124888489
3505,0.005118592545925969,0.22735173071489906,0.29282289194787864,0.09510937863722921,0.6584417829700242,0.019622174835226266,0.04481382257821769,0.0023589744139621074,0.0005997423856037246,0.000358738707694407,0.003648181718955609,0.0017632764523539215,0.00027337004516793135,0.0022544737212906864,0.049666789308991585,0.027211749960799364,0.00011621269676841562,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.9704980811106045
3502,0.005118592545925969,0.07742803430441149,0.1970219735734454,0.05875457219884534,0.6584417829700242,0.001357039122916498,0.006120862406111111,0.0005765734400133668,0.0005731658732334752,0.0003829842419644635,0.0004159927112001034,0.0912047047984501,0.002270771342269421,0.03514083141038192,0.049666789308991585,0.004650166027118762,0.009684478603976372,0.006491816022308697,0.0013855266165006222,0.0016551320914966123,0.9704980811106045
3515,0.005118592545925969,0.017289968783786084,0.009564847702624193,0.01451532537620832,0.6106044557357303,0.06213781816289717,0.0744453071756623,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0144144880260429,3.920611807474005e-05,0.0007362991545778232,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.0007661564225739509,0.03265837124888489
3513,0.03155342544836012,0.0381643647449174,0.04298676639718424,0.03246497368698943,0.6211286596347647,0.0022977522192082814,0.005913628240619649,0.00032801865566477054,0.00035348683134713043,0.00045931751195512114,0.008043275757145375,0.12762041085473416,0.03981640332768969,0.0011272368606453432,0.05550090991619363,0.008511769892469684,0.15320846721209572,0.0005287901662719409,0.023100021082352516,0.006111371045783294,0.03265837124888489
3510,0.005118592545925969,0.03433099022348819,0.027495337835434484,0.009722466330801299,0.6106044557357303,0.016111974152409475,0.06951402312337208,0.00639839175753827,0.00020848915114055126,0.0002966555558774399,0.0001134222533519475,0.01210769845802901,0.00014512236965704995,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.009684478603976372,6.829759364413174e-05,0.023100021082352516,0.001666588244943771,0.9704980811106045
3506,0.005118592545925969,0.00570048987890881,0.004044777105342053,0.001805480818380601,0.29487833876470093,0.10741924852984942,0.15570586287007296,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.04081161834331715,0.0912047047984501,0.030084259019234432,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.03265837124888489
3514,0.03155342544836012,0.00010089203876172976,0.00020156133816403026,5.8408175089191207e-05,0.2001605036733921,0.02370501853280148,0.014281311496814837,0.022441504244317755,0.004933618034476752,0.005119018806414691,4.740931255290851e-06,0.005211417120912285,0.0,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.00028606663205254086,0.00019468262499894195,0.011598792572359793,0.03265837124888489
3520,0.03155342544836012,0.1408415341269346,0.10220006741295176,0.07273825472416189,0.6584417829700242,0.04612348806244537,0.030448898442805277,0.0005965035104080072,0.00011312821327903304,0.00014220526647725434,0.014699404276513499,0.055209456815008544,0.0074321777917775245,0.002536282936452022,0.04916198984851707,0.011531883922869671,0.114988705543999,0.030969886207273634,0.0025843060410864985,0.007409688089524989,0.03265837124888489
3507,0.005118592545925969,0.01094549085544194,0.00674637655384313,0.09910018971964812,0.6584417829700242,0.0010802657582295013,0.005876171062407221,0.022441504244317755,6.988047877023247e-06,1.10364339488958e-05,0.018579819607623355,0.07589830082635873,0.003153880335918911,0.0021135691137100184,0.04916198984851707,0.010490094692815028,0.325437253541839,0.0014937381040190224,0.0002198114964322293,0.0010069494810294242,0.03265837124888489
3509,0.005118592545925969,0.05198449929943637,0.07495202332013869,0.04246870875313344,0.5895560479376617,0.004199436143222267,0.010390707897979226,0.019852890905661794,0.0008781154235079134,0.0009490383113282576,0.0018238292577444758,0.17417030988027205,0.12934228067116282,0.03514083141038192,0.049666789308991585,0.018603755532741722,0.114988705543999,0.0010532171902196841,0.00015976671942847953,0.022835653489521136,0.03265837124888489
3530,0.004976952254431934,0.009487173401739279,0.004859491421786578,0.03093163997222221,0.1054426685820833,0.003619479596201382,0.010800249342196422,0.022441504244317755,8.990457002045209e-06,6.6602306960927795e-06,0.07743583384774895,0.010383628123749829,0.0005281779267750772,0.0023953783288713543,0.007959009408619478,0.004008560630994134,0.06709407404722412,5.659991751939254e-05,2.301275594416841e-05,0.00021757592142574678,0.03265837124888489
3526,0.004976952254431934,0.06724244852515526,0.2482964679339624,0.07824183106133487,0.6211286596347647,0.00420568141223418,0.013697643924232247,0.004080419675534259,0.0053915170493626504,0.003666196813408965,0.0016245337318974249,0.12589634052045498,0.015282847998380028,0.015781316049034804,0.06500929001770846,0.0034439296243282563,0.09579887176884799,0.005354546509529492,0.0016156541759423063,0.005740401870397674,0.03265837124888489
